patterns,Supp X,Supp Y,Supp Z
(2+4-7+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(9+)(3+4+6+)(1+3+4+6+),0.4,0.07,0.66
(9+)(4+6-),0.4,0.05,0.66
(9+)(6+9+),0.4,0.06,0.66
(9+)(1+9+),0.4,0.06,0.66
(9+)(1+8-),0.4,0.05,0.66
(9+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(9+)(6+9-),0.5,0.06,0.67
(3+6-)(1+3+4+6+),0.4,0.07,0.66
(3+6-)(4+6-),0.4,0.05,0.66
(3+6-)(1+2+8+),0.4,0.05,0.66
(3+6-)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(3+6-)(6+9-),0.5,0.06,0.67
(1+3+6+8+),1.0,0.14,0.69
(3+6+)(3+4+6+)(1+3+4+6+),0.4,0.06,0.66
(3+6+)(4+6-),0.4,0.05,0.66
(3+6+)(6+9+),0.4,0.06,0.66
(3+6+)(1+2+8+),0.4,0.05,0.66
(3+6+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(3+6+)(6+9-),0.5,0.06,0.67
(2+9-)(1+3+4+6+),0.4,0.06,0.66
(2+9-)(4+6-),0.4,0.05,0.66
(2+9-)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(2+9-)(6+9-),0.5,0.06,0.67
(2+9+)(1+3+4+6+),0.4,0.09,0.67
(2+9+)(4+6-),0.4,0.05,0.66
(2+9+)(6+9+),0.4,0.06,0.66
(2+9+)(1+2+8+),0.4,0.05,0.66
(2+9+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(2+9+)(6+9-),0.5,0.06,0.67
(2+3+7+)(3+4+6+)(1+3+4+6+),0.4,0.06,0.66
(2+3+7+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(3+4+8+9+),1.0,0.14,0.69
(1+2+4+6+),0.6,0.06,0.67
(2+6+7+8+),0.7,0.08,0.68
(3+7-)(4+6-),0.4,0.06,0.66
(3+7-)(6+9-),0.4,0.05,0.66
(3+7+)(3+4+6+)(1+3+4+6+),0.4,0.06,0.66
(3+7+)(4+6-),0.4,0.05,0.66
(3+7+)(6+9+),0.4,0.06,0.66
(3+7+)(1+2+8+),0.4,0.05,0.66
(3+7+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(3+7+)(6+9-),0.5,0.06,0.67
(2+3+4+)(3+4+6+)(1+3+4+6+),0.4,0.05,0.66
(2+3+4+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(2+7+8+)(3+4+6+)(1+3+4+6+),0.4,0.06,0.66
(2+7+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(1+2+4+7+),0.6,0.06,0.67
(2+7+9+)(3+4+6+)(1+3+4+6+),0.4,0.05,0.66
(2+7+9+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(3+8+)(3+4+6+)(1+3+4+6+),0.4,0.09,0.67
(3+8+)(4+6-),0.4,0.06,0.66
(3+8+)(6+8+9+),0.4,0.05,0.66
(3+8+)(1+2+8+),0.4,0.05,0.66
(3+8+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(3+8+)(6+9-),0.5,0.06,0.67
(3+4+9+)(1+3+4+6+),0.4,0.1,0.67
(3+4+9+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(3+4+9+)(6+8+9+),0.4,0.05,0.66
(8+9+)(3+4+6+)(1+3+4+6+),0.4,0.06,0.66
(8+9+)(6+8+9+),0.4,0.05,0.66
(8+9+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(2+3+4+8+),0.7,0.08,0.68
(2+4+6+7+),0.6,0.06,0.67
(4+6+)(3+4+6+)(1+3+4+6+),0.4,0.06,0.66
(4+6+)(6+9+),0.4,0.06,0.66
(4+6+)(1+2+8+),0.4,0.05,0.66
(4+6+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(4+6+)(6+9-),0.5,0.06,0.67
(4+6-)(1+3+4+6+),0.4,0.06,0.66
(4+6-)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(4+6-)(6+9-),0.5,0.06,0.67
(1+6+7+)(3+4+6+)(1+3+4+6+),0.4,0.06,0.66
(1+6+7+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(1+3+6+7+),0.7,0.08,0.68
(2+3+4+7+),0.9,0.11,0.68
(1+2+3+)(3+4+6+)(1+3+4+6+),0.4,0.05,0.66
(1+2+3+)(1+2+8+),0.4,0.05,0.66
(1+2+3+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(3+9-)(1+2+8+),0.4,0.05,0.66
(3+9-)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(3+9-)(6+9-),0.4,0.05,0.66
(3+9+)(3+4+6+)(1+3+4+6+),0.4,0.06,0.66
(3+9+)(4+6-),0.4,0.05,0.66
(3+9+)(6+9+),0.4,0.06,0.66
(3+9+)(1+2+8+),0.4,0.05,0.66
(3+9+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(3+9+)(6+9-),0.5,0.06,0.67
(3+4+8+)(1+3+4+6+),0.4,0.11,0.67
(3+4+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(3+4+8+)(6+8+9+),0.4,0.05,0.66
(6+7+9+),0.8,0.09,0.68
(1+2+3+6+7+),0.7,0.08,0.68
(4+7+)(3+4+6+)(1+3+4+6+),0.4,0.06,0.66
(4+7+)(6+9+),0.4,0.06,0.66
(4+7+)(1+2+8+),0.4,0.05,0.66
(4+7+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(4+7+)(6+9-),0.5,0.06,0.67
(1+2+7+8+),0.7,0.08,0.68
(4+7-)(1+3+4+6+),0.4,0.07,0.66
(4+7-)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(4+7-)(6+9-),0.5,0.06,0.67
(1+6+8+)(3+4+6+)(1+3+4+6+),0.4,0.05,0.66
(1+6+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(1+2+4+)(6+8+9+),0.4,0.06,0.66
(1+2+4+)(1+3+6+),0.4,0.06,0.66
(3+4+7+8+),0.7,0.08,0.68
(4+8+)(3+4+6+)(1+3+4+6+),0.4,0.06,0.66
(4+8+)(6+9+),0.4,0.06,0.66
(4+8+)(1+2+8+),0.4,0.05,0.66
(4+8+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(4+8+)(6+9-),0.5,0.06,0.67
(4+8-)(1+2+8+),0.4,0.05,0.66
(4+8-)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(1+2+4+6+7+),0.6,0.06,0.67
(1+6+9+)(3+4+6+)(1+3+4+6+),0.4,0.05,0.66
(1+6+9+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(3+6+8+)(1+3+4+6+),0.4,0.09,0.67
(3+6+8+)(1+3+6+8+),0.4,0.08,0.66
(3+6+8+)(6+8+9+),0.4,0.06,0.66
(1+2+)(3+4+6+)(1+3+4+6+),0.4,0.05,0.66
(1+2+)(4+6-),0.4,0.05,0.66
(1+2+)(6+9+),0.4,0.06,0.66
(1+2+)(1+9+),0.4,0.06,0.66
(1+2+)(1+8-),0.4,0.05,0.66
(1+2+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(1+2+)(6+9-),0.5,0.06,0.67
(2+6+7+)(3+4+6+)(1+3+4+6+),0.4,0.06,0.66
(2+6+7+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(4+9+)(3+4+6+)(1+3+4+6+),0.4,0.08,0.66
(4+9+)(6+8+9+),0.4,0.05,0.66
(4+9+)(1+2+8+),0.4,0.05,0.66
(4+9+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(4+9+)(6+9-),0.5,0.06,0.67
(1+2+6+)(3+4+6+)(1+3+4+6+),0.4,0.06,0.66
(1+2+6+)(1+2+8+),0.4,0.05,0.66
(1+2+6+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(3+6+7+),0.7,0.08,0.68
(1+4+6+9+),1.0,0.12,0.69
(1+3+)(1+3+4+6+),0.4,0.11,0.67
(1+3+)(4+6-),0.4,0.05,0.66
(1+3+)(6+9+),0.4,0.06,0.66
(1+3+)(1+9+),0.4,0.06,0.66
(1+3+)(1+8-),0.4,0.05,0.66
(1+3+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(1+3+)(6+9-),0.5,0.06,0.67
(6+8+9+)(1+3+4+6+),0.4,0.08,0.66
(6+8+9+)(1+3+6+8+),0.4,0.07,0.66
(2+6+8+),0.7,0.08,0.68
(1+2+3+6+),0.7,0.08,0.68
(1+2+3+7+),0.7,0.08,0.68
(1+7+8+),0.7,0.08,0.68
(1+2+7+)(3+4+6+)(1+3+4+6+),0.4,0.06,0.66
(1+2+7+)(1+2+8+),0.4,0.05,0.66
(1+2+7+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
(1+3+4+)(3+4+6+)(1+3+4+6+),0.4,0.05,0.66
(1+3+4+)(1+3+8+)(3+6+8+)(1+3+6+8+),0.4,0.06,0.66
