patterns,Supp X,Supp Y,Supp Z
(2+4+)(3+4+8+),0.4,0.06,0.66
(2+4+)(2+4-7+),0.4,0.06,0.66
(2+4+)(1+4+9+),0.4,0.05,0.66
(2+4+)(1+3+4+),0.5,0.05,0.67
(2+4+)(2+7+9+),0.5,0.06,0.67
(2+4+)(4+7-),0.4,0.05,0.66
(6+8+)(1+3+4+)(2+4-7+),0.4,0.09,0.67
(6+8+)(1+3+4+)(6+7+9+),0.4,0.06,0.66
(6+8+)(3+4-8+),0.4,0.05,0.66
(6+8+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(6+8+)(3+4+8+),0.4,0.06,0.66
(6+8+)(1+3+6+),0.4,0.06,0.66
(6+8+)(2+7+9+),0.5,0.06,0.67
(4+6+)(1+3+4+)(2+4-7+),0.4,0.07,0.66
(4+6+)(1+3+4+)(6+7+9+),0.4,0.06,0.66
(4+6+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(4+6+)(3+4+8+),0.4,0.06,0.66
(4+6+)(1+3+6+),0.4,0.06,0.66
(4+6+)(2+7+9+),0.5,0.06,0.67
(4+6+)(4+7-),0.4,0.05,0.66
(4+6-)(1+3+4+)(2+4-7+),0.4,0.07,0.66
(4+6-)(1+3+4+)(6+7+9+),0.4,0.05,0.66
(4+6-)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(4+6-)(3+4+8+),0.4,0.06,0.66
(4+6-)(1+3+6+),0.4,0.06,0.66
(4+6-)(2+7+9+),0.5,0.06,0.67
(4+6-)(4+7-),0.4,0.05,0.66
(1+3+8+)(3+4-8+)(6+7+9+),0.4,0.07,0.66
(1+3+8+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+3+8+)(3+4+8+),0.4,0.06,0.66
(1+3+8+)(2+4-7+),0.4,0.05,0.66
(1+3+8+)(1+4+9+),0.4,0.05,0.66
(1+3+8+)(2+7+9+),0.5,0.06,0.67
(4+)(3+4-8+)(6+7+9+),0.4,0.23,0.67
(4+)(2+4-)(1+3+4+)(2+4-7+),0.4,0.06,0.66
(4+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(4+)(3+6+)(1+3+6+),0.4,0.06,0.66
(4+)(3+4+8+),0.4,0.06,0.66
(4+)(1+4+9+),0.4,0.05,0.66
(4+)(2+7+9+),0.5,0.06,0.67
(4+)(4+7-),0.4,0.05,0.66
(1+6+7+)(3+4-8+)(6+7+9+),0.4,0.06,0.66
(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+6+7+)(3+4+8+),0.4,0.06,0.66
(1+6+7+)(2+4-7+),0.4,0.05,0.66
(1+6+7+)(2+7+9+),0.5,0.06,0.67
(1+7+)(3+4-8+)(6+7+9+),0.4,0.06,0.66
(1+7+)(2+4-)(1+3+4+)(2+4-7+),0.4,0.05,0.66
