patterns,Supp X,Supp Y,Supp Z
(1+2+3+4+6+7+)(1+2+4+6+7+9+),0.4,0.09,0.67
(0+1+6+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.4,0.07,0.66
(0+1+6+)(2+4+6+9+),0.4,0.06,0.66
(0+1+6+)(0+2+5+),0.4,0.05,0.66
(0+1+6+)(1+2+4+7+9+),0.4,0.05,0.66
(2+5+)(1+2+3+4+),0.4,0.08,0.67
(2+5+)(1+2+8+)(1+7+8+)(2+6+8+)(1+2+6+8+)(1+2+7+8+)(1+6+7+8+)(2+6+7+8+)(1+2+6+7+8+),0.4,0.06,0.66
(2+5+)(4+5-),0.4,0.05,0.66
(2+5+)(3+9+),0.4,0.07,0.66
(2+5+)(0+2+5+),0.4,0.06,0.66
(1+3+4+6+8+)(2+4+6+7+9+)(1+2+4+6+7+9+),0.4,0.07,0.66
(1+8-),0.5,0.06,0.67
(1+8+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.4,0.08,0.66
(1+8+)(1+2+3+4+),0.4,0.07,0.66
(1+8+)(2+5+)(0+2+5+),0.4,0.05,0.66
(1+8+)(1+2+8+)(1+7+8+)(2+6+8+)(1+2+6+8+)(1+2+7+8+)(1+6+7+8+)(2+6+7+8+)(1+2+6+7+8+),0.4,0.06,0.66
(1+8+)(4+5-),0.4,0.05,0.66
(1+8+)(3+9+),0.4,0.06,0.66
(1+8+)(1+2+4+6+7+9+),0.4,0.05,0.66
(1+8+)(0+1+6+),0.4,0.06,0.66
(6+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.4,0.08,0.66
(6+9+)(2+4+6+9+)(4+6+7+9+),0.4,0.05,0.66
(6+9+)(1+2+3+4+),0.4,0.05,0.66
