5 5 7 7 7 7 7 7 7 7 7 7 7 7 7
5 6 4 6 4 5 4 5 5 6 4 4 4 6 6
5 7 5 5 5 2 6 6 5 5 6 6 6 5 5
5 8 6 6 6 6 5 6 7 6 6 6 6 6 6
5 9 5 5 5 2 6 6 6 5 6 4 5 5 6
5 10 7 7 7 7 6 6 7 7 5 6 4 6 4
5 11 5 6 6 3 6 6 5 5 6 5 6 6 6
5 12 6 6 6 5 7 6 6 5 6 6 6 6 6
5 13 3 5 2 2 2 3 4 4 2 3 2 3 3
5 14 7 6 7 2 7 7 7 5 7 6 5 5 7
5 15 6 5 6 6 5 5 5 5 6 5 5 5 5
5 16 3 5 2 4 4 4 4 4 4 4 2 6 3
5 17 5 6 5 7 5 4 5 5 6 5 4 3 4
5 18 4 5 2 5 5 2 5 4 5 5 5 4 4
5 19 6 5 7 6 6 5 7 7 5 6 5 6 5
5 20 4 6 4 2 6 6 7 3 5 6 3 4 4
5 21 6 6 5 3 5 4 6 4 5 5 5 5 6
5 22 4 4 4 2 4 4 4 4 4 4 5 4 4
5 23 2 2 2 2 2 2 2 2 2 2 2 2 2
6 1 7 7 7 7 7 7 7 7 7 7 7 7 7
6 2 7 7 7 6 7 7 6 7 7 7 7 7 7
6 3 5 5 6 4 5 1 5 1 4 5 5 6 5
6 4 6 6 6 6 6 5 6 6 6 6 6 6 6
6 5 7 7 7 7 7 7 7 7 7 7 7 7 7
6 6 4 4 4 6 5 3 6 6 6 3 6 6 6
6 7 7 7 7 7 7 7 7 7 7 7 7 7 7
6 8 7 6 6 7 5 6 7 6 5 5 6 6 6
6 9 6 1 6 2 6 4 6 1 6 4 5 5 6
6 10 7 7 7 7 7 7 7 7 7 7 7 7 7
6 11 6 5 7 6 5 4 7 6 6 4 6 5 4
6 12 6 7 7 6 6 6 6 6 6 6 6 6 7
6 13 5 6 6 6 7 7 6 5 7 7 6 6 6
6 14 7 7 7 1 7 2 7 3 7 7 5 7 5
6 15 6 6 5 5 5 5 6 6 5 5 5 6 6
6 16 6 5 6 6 6 5 6 6 6 5 6 6 5
6 17 6 6 7 5 6 5 6 6 6 6 5 5 3
6 18 5 6 7 5 5 3 5 7 4 5 6 5 5
6 19 7 6 6 6 7 7 7 7 7 7 7 7 6
6 20 5 3 4 2 6 6 4 5 6 6 5 5 2
6 21 7 6 6 6 5 5 6 6 5 5 6 6 6
6 22 5 5 6 5 6 6 5 6 6 6 6 6 6
6 23 6 4 7 4 5 5 7 5 6 4 7 6 6
7 1 6 4 6 6 6 5 4 6 5 5 5 6 6
7 2 5 5 3 5 4 4 5 5 5 5 5 5 6
7 3 5 6 4 5 5 5 6 1 6 5 6 5 5
7 4 6 6 6 5 7 6 6 6 7 6 7 6 5
7 5 4 5 5 1 5 1 7 1 4 1 5 5 5
7 6 2 2 4 2 3 5 2 6 3 3 6 4 4
7 7 4 4 4 4 4 4 4 4 4 4 4 4 4
7 8 5 5 5 5 4 4 5 5 4 4 5 5 5
7 9 5 5 5 2 5 1 5 1 5 5 5 5 5
7 10 6 6 6 6 7 7 6 6 7 7 6 6 6
7 11 5 7 6 5 6 4 7 5 7 5 7 3 4
7 12 5 6 6 6 5 5 5 6 5 5 5 5 6
7 13 4 4 4 5 5 4 4 5 5 5 4 4 4
7 14 6 7 7 7 7 3 5 6 7 6 7 7 4
7 15 5 4 4 4 5 4 4 5 4 5 4 4 5
7 16 5 5 5 5 6 4 5 5 6 5 5 5 5
7 17 5 7 6 7 6 3 5 4 6 4 6 6 5
7 18 5 5 5 7 6 4 7 6 5 4 6 6 4
7 19 1 6 5 3 5 4 7 7 5 4 7 1 1
7 20 5 3 2 2 6 4 4 2 3 5 3 2 2
7 21 3 5 6 5 4 4 6 1 4 4 6 6 6
7 22 3 3 3 3 5 4 3 3 4 3 3 3 3
7 23 4 3 6 2 4 6 5 6 6 3 5 4 5
8 1 7 7 7 7 7 7 7 7 6 7 7 7 7
8 2 7 6 7 7 6 5 7 6 6 7 6 7 7
8 3 6 6 7 5 6 4 7 1 6 6 7 6 5
8 4 7 7 7 7 6 4 7 6 5 4 6 7 6
8 5 6 7 7 7 5 7 4 7 6 5 7 5 6
8 6 4 4 5 4 3 3 2 4 5 3 4 4 4
8 7 7 7 7 7 7 7 7 7 7 7 7 7 7
8 8 5 5 5 5 5 5 5 5 5 5 5 5 5
8 9 7 7 7 7 7 6 7 1 7 7 7 7 7
8 10 7 7 7 7 7 7 7 7 7 7 7 7 7
8 11 6 6 6 7 7 5 6 5 7 7 6 7 5
8 12 5 6 6 5 6 6 4 6 6 6 6 6 6
8 13 5 6 4 6 5 4 6 6 6 5 6 6 6
8 14 7 7 7 7 7 3 7 7 7 6 7 7 4
8 15 4 2 4 5 5 4 2 4 4 4 4 5 4
8 16 6 5 5 5 5 5 5 6 5 5 5 5 5
8 17 6 6 6 6 6 6 6 6 6 6 6 6 6
8 18 6 4 7 7 7 5 7 5 7 7 7 7 6
8 19 7 5 7 7 7 1 7 7 7 5 7 7 5
