2 2010 7 35.50951 9137.79 4.15261 0.142745 0.169249 0.587499 1.62 0.288691 0.2308283 5.3419 88.7115 71.3785 36.9938 0.032541 0.031491 0.098643 0.022462 9.29128 3.81275 0.428151 713.303 94 0.04 0.9 54.386 824 50.7746 62.6 29 96.7 7.6507 724.253 3.31462 8500000 96.9197 94.766 53.2402 46.5724 5925.88 0.24325
2 2011 7 34.72467 9461.12 4.31908 0.151484 0.190785 0.656662 1.611 0.157274 0.2545879 5.3 87.7808 71.3785 36.9938 0.03411 0.033412 0.104661 0.02426 9.85203 5.12416 1.79188 726.084 96 0.05 1 54.861 808 55.2962 59.2 27.9 90.6 15.0457 774.005 3.22118 8800000 96.7578 94.762 54.099 47.2588 6040.98 0.253557
2 2012 7 34.59048 9790.15 4.46409 0.154152 0.190346 0.71935 1.599 0.133563 0.2762305 5.93858 88.1516 73.3255 38.9408 0.036547 0.036547 0.114481 0.026762 10.0312 4.0326 0.850969 732.263 96 0.05 1.11 55.338 796 56.8491 56.1 26.9 85.1 16.1961 781.745 3.10605 9000000 96.5942 94.752 54.9578 47.9451 6152 0.243272
2 2013 7 34.51926 10124.6 4.61524 0.154586 0.193703 0.787086 1.59 0.131538 0.298227 6.5 88.4292 75.2726 42.8349 0.040055 0.040823 0.127875 0.030297 10.2103 4.44671 1.35129 742.158 96 0.05 1.22 55.807 780 58.4021 53.1 25.9 79.9 17.3466 789.485 3.00844 9300000 93.9587 94.725 55.8166 48.6315 6254.37 0.251681
3 1998 4 49.96605 6361.3 2.49356 0.172852 0.253765 1.61745 0.894 0.057346 0.8143861 16.8098 95.3102 25.6297 18.6236 0.163396 0.123354 0.2961 0.19381 46.7453 5.73469 2.58064 1571.17 66 0.21 0.024649 55.133 571 -1.56031 93.2 41.7 151.8 0.24667 3741.73 3.02838 6300000 80.6264 92.06 55.2464 48.3859 46264.1 0.106917
3 1999 4 49.4638 6546.49 2.56246 0.199901 0.274022 1.63395 1.017 0.03961 0.8204058 18.1177 94.9156 27.0486 19.9539 0.155015 0.118297 0.28396 0.187593 46.1245 3.96101 0.930263 1585.79 70 0.2 0.047877 55.139 577 -17.0646 91.9 41.3 149.3 -8.95485 3398.28 2.95861 6500000 79.5684 92.034 55.4399 48.727 49501.7 0.112748
3 2000 4 50.2 6740.49 2.63536 0.156484 0.202597 1.67169 0.895 0.053415 0.8375152 19.4042 94.3954 27.5807 20.3973 0.186535 0.144529 0.346928 0.234412 45.5037 5.34145 2.27747 1621.9 74 0.19 0.154907 55.218 576 -9.00967 90.4 40.8 146.6 -7.30707 3459.79 2.95175 6700000 76.9054 91.966 55.6335 49.0681 43491 0.110429
3 2001 4 51.12677 6949.37 2.7137 0.111444 0.147464 1.71642 0.798 0.058577 0.8588976 20.6678 93.7837 28.3345 21.1068 0.176333 0.139733 0.335417 0.232861 44.8829 5.85999 2.7478 1666.47 78 0.17 0.225248 55.391 572 -12.0272 88.6 40.1 143.2 -10.4199 3343.6 2.98399 6900000 70.289 91.906 55.827 49.4092 40254 0.110161
3 2002 4 49.968 7174.91 2.80082 0.116057 0.152868 1.75113 0.721 0.053331 0.8722364 21.9 93.43 28.9553 21.7276 0.185829 0.150614 0.361534 0.256498 44.4395 5.33041 2.19312 1703.02 76 0.15 0.363418 55.668 561 -13.405 86.5 39.2 139.5 -18.3416 3047.92 3.02378 7100000 66.8537 91.831 56.0206 49.7503 33015.4 0.117263
3 2003 4 50.64871 7414.74 2.89401 0.127846 0.16671 1.77316 0.69 0.04643 0.8817934 23.1457 92.9131 29.8421 22.6144 0.200335 0.164864 0.395741 0.285 43.9961 4.64447 1.50802 1728.7 75 0.13 0.702946 56.025 549 -2.45043 84.3 38.4 135.5 -5.8719 3513.35 3.04308 7300000 64.0377 91.778 56.2141 50.0914 47757.3 0.115626
